coalition_id,members,size,mean_value,std_value,runs,notes
0,(),0,0.0,0.0,0,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7;empty coalition
49,"('0', '3', '5')",3,0.5902232550654671,0.03583811113305666,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
50,"('0', '3', '6')",3,0.543521147365663,0.034761640379715165,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
51,"('0', '3', '7')",3,0.534360131834364,0.04187728396598498,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
52,"('0', '4', '5')",3,0.5863655293607075,0.027205799183572143,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
53,"('0', '4', '6')",3,0.605937652731225,0.03537035978241943,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
54,"('0', '4', '7')",3,0.5516553678261639,0.017912879285231473,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
55,"('0', '5', '6')",3,0.6030922550897998,0.08389161801413232,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
56,"('0', '5', '7')",3,0.5216535555117394,0.057136018212685734,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
57,"('0', '6', '7')",3,0.6502751764244089,0.03505747170786974,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
58,"('1', '2', '3')",3,0.6291098184376456,0.04676624027512411,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
59,"('1', '2', '4')",3,0.5477475696767299,0.06601564402049609,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
60,"('1', '2', '5')",3,0.6138403070373291,0.06310695194575168,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
61,"('1', '2', '6')",3,0.6176540496223729,0.039809443374498835,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
62,"('1', '2', '7')",3,0.6352944240809407,0.04756124844278911,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
63,"('1', '3', '4')",3,0.5850809242714763,0.0941628917859301,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
64,"('1', '3', '5')",3,0.5474279708912734,0.01895325294296847,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
65,"('1', '3', '6')",3,0.5562325329020591,0.05837475778308897,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
66,"('1', '3', '7')",3,0.4820773995959556,0.07292387295878944,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
67,"('1', '4', '5')",3,0.604870709253868,0.0077968142359286716,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
68,"('1', '4', '6')",3,0.5593295728415727,0.039055920661794793,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
69,"('1', '4', '7')",3,0.5329753016936946,0.008923475691096451,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
70,"('1', '5', '6')",3,0.5431752619889075,0.046117090887450744,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
71,"('1', '5', '7')",3,0.549178140926038,0.053583304953201016,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
72,"('1', '6', '7')",3,0.5518962778131775,0.05698862869189149,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
73,"('2', '3', '4')",3,0.6464627433282587,0.011439350682989562,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
74,"('2', '3', '5')",3,0.5163595873328812,0.043364865065008806,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
75,"('2', '3', '6')",3,0.6195368074661269,0.03378001762859057,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
76,"('2', '3', '7')",3,0.5848758521175221,0.034374172686941325,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
77,"('2', '4', '5')",3,0.6040918062653429,0.008867493193983488,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
78,"('2', '4', '6')",3,0.5968725844419878,0.01732536348511196,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
79,"('2', '4', '7')",3,0.5640644743588915,0.0742911106187167,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
80,"('2', '5', '6')",3,0.577986829821985,0.06251549869816884,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
81,"('2', '5', '7')",3,0.6049114284720839,0.03754080621288404,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
82,"('2', '6', '7')",3,0.5915720220647054,0.03387808329247888,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
83,"('3', '4', '5')",3,0.6814413608512729,0.03391850780327372,3,scenario=lazer2007;N=8;K=7;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
